SCIACOVELLI SINDACO - CI PIACE!,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,BARI CITTÀ D'EUROPA,MOVIMENTO CINQUE STELLE,GENERAZIONE URBANA,BARI BENE COMUNE,PCI - PARTITO COMUNISTA ITALIANO,LAFORGIA SINDACO,NOI POPOLARI,PROGETTO BARI CON LECCESE,PARTITO DEMOCRATICO,LECCESE SINDACO,CON LECCESE SINDACO,DECARO PER BARI,EUROPA VERDE - VERDI,BARI X FABIO ROMITO,AGORÀ,MARIO CONCA PER BARI,NOI MODERATI - RIPRENDIAMOCI IL FUTURO,LIBERALI E RIFORMISTI - nPSI,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,FRATELLI D'ITALIA,FORZA ITALIA,ROMITO SINDACO,PENSIONATI E INVALIDI,OLTRE MANGANO SINDACO,TOT_SEZIONE,COALIZIONE ROMITO,COALIZIONE LECCESE,COALIZIONE LAFORGIA,SEZIONE
3,7,11,29,2,9,0,28,2,3,37,12,14,27,0,5,1,0,14,2,54,30,21,36,0,1,696,163,95,79,2
2,3,13,18,2,7,0,5,5,5,44,6,9,48,1,5,1,0,5,6,26,41,11,15,1,0,558,111,118,45,3
2,1,16,17,11,20,1,54,9,28,101,25,16,32,2,15,1,4,0,4,11,75,22,26,0,0,986,158,213,119,4
0,1,16,28,6,13,3,28,39,21,89,38,24,27,12,10,0,1,2,1,16,48,15,57,1,0,992,151,250,94,5
0,0,11,13,3,16,1,25,5,5,67,16,18,26,4,7,0,3,8,1,18,24,7,17,0,1,592,85,141,69,6
0,0,25,12,0,10,1,7,2,5,44,8,15,34,3,9,0,0,1,8,15,20,25,7,0,0,502,85,111,55,7
2,1,14,20,4,17,0,36,5,11,90,20,16,18,5,6,1,4,1,2,13,44,13,28,0,3,748,112,165,91,8
5,1,6,12,5,12,4,15,7,20,52,12,14,37,4,3,0,1,11,0,13,28,14,37,0,2,630,107,146,54,9
1,1,7,20,3,16,3,27,5,14,85,19,9,33,5,14,1,1,6,8,8,36,8,21,0,0,702,103,170,76,10
0,2,6,21,3,18,3,30,3,8,71,19,9,15,5,5,0,1,8,0,12,44,14,23,2,0,644,109,130,81,11
